1.18	0.54	0.21	0.09	0.20	0.37	0.31	0.21	0.11	0.11	0.29	0.21	0.20	0.16	0.23
0.66	4.30	0.84	0.22	0.05	0.20	0.51	0.58	0.31	0.07	0.18	0.42	0.24	0.36	0.20
0.56	0.87	7.39	0.64	0.11	0.10	0.64	0.56	0.42	0.15	0.24	0.29	0.15	0.20	0.20
0.35	0.27	1.42	7.77	1.16	0.47	0.31	0.47	0.77	0.48	0.40	0.39	0.24	0.24	0.37
0.55	0.26	0.28	1.06	3.72	1.65	0.69	0.73	0.87	0.62	0.81	0.42	0.34	0.28	0.23
1.12	0.64	0.30	0.44	1.25	2.27	1.26	1.42	0.89	0.69	0.94	0.69	0.46	0.40	0.20
0.94	1.00	0.57	0.22	0.48	0.95	1.25	1.58	0.79	0.61	0.73	0.68	0.59	0.52	0.23
0.67	0.60	0.63	0.46	0.31	0.52	1.02	2.05	0.95	0.48	0.53	0.44	0.39	0.24	0.46
0.27	0.40	0.52	0.52	0.38	0.60	0.72	0.98	1.55	0.69	0.84	0.31	0.58	0.40	0.40
0.31	0.37	0.40	0.41	0.49	0.53	0.69	0.68	0.94	1.28	1.11	0.58	0.10	0.36	0.51
0.46	0.35	0.15	0.24	0.52	0.65	0.49	0.55	0.55	0.75	1.02	0.71	0.25	0.36	0.51
0.47	0.41	0.13	0.15	0.30	0.30	0.30	0.45	0.47	0.33	0.58	1.21	0.44	0.32	0.37
0.21	0.23	0.13	0.09	0.08	0.15	0.28	0.31	0.24	0.20	0.26	0.50	0.69	0.32	0.46
0.21	0.14	0.09	0.12	0.05	0.08	0.10	0.29	0.23	0.16	0.08	0.27	0.41	0.52	0.43
0.20	0.28	0.26	0.12	0.13	0.20	0.13	0.48	0.26	0.39	0.45	0.42	0.42	0.28	0.80
